id;id_ex;siret;gestion;date_creat;date_publi;nature;groupement;titre;objet;objet_social1;objet_social2;adr1;adr2;adr3;adrs_codepostal;libcom;adrs_codeinsee;dir_civilite;siteweb;observation;position;rup_mi;maj_time
"293S0293002515";"0293002515";"";"293S";"0001-01-01";"1983-07-05";"D";"S";"CLUB DE HAND BALL PLOUNEVEZIEN";"Pratique du hand ball - formation des jeunes aux rudiments de ce sport";"000000";"000000";"Mairie";"";"";"29221";"PLOUNEVEZ-LOCHRIST";"29206";"PM";"";"W293003377";"R";"";"2017-04-06  04:44:11"
"293S0293002517";"0293002517";"";"293S";"0001-01-01";"1983-07-10";"D";"S";"TOUR DE L'ILE D'OUESSANT";"Organiser des courses sur route a ouessant";"000000";"000000";"Pont de la corde";"";"";"29231";"HENVIC";"29079";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002518";"0293002518";"";"293S";"0001-01-01";"1983-07-17";"D";"S";"CLUB DE HAND BALL LANDIVISIAU";"Entrainement, pratique en competition du hand ball, ainsi que son developpement";"000000";"000000";"Hotel de ville";"";"";"29230";"LANDIVISIAU";"29105";"PM";"";"W293003378";"R";"";"2017-04-06  04:51:26"
"293S0293002520";"0293002520";"";"293S";"0001-01-01";"1983-07-17";"D";"S";"CLUB GEOLOGIQUE MORLAISIEN";"Initiation a la geologie et des recherches mineralogiques et paleontologiques";"000000";"000000";"15, rue de kermaria";"";"";"29210";"MORLAIX";"29151";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002521";"0293002521";"";"293S";"0001-01-01";"1983-08-17";"D";"S";"DART'S CLUB MORLAISIEN";"Pratique du jeu de flechettes - susciter des liens d'amitie entre ses membres";"000000";"000000";"56, rue de gambetta";"";"";"29210";"MORLAIX";"29151";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002523";"0293002523";"";"293S";"0001-01-01";"1983-08-17";"D";"S";"CLUB DE VOLLEY BALL PLOUNEVEZIEN";"Pratique des exercices physiques et notamment le volley ball";"000000";"000000";"Mairie";"";"";"29221";"PLOUNEVEZ-LOCHRIST";"29206";"PM";"";"reprise auto => date publication création au JO à vérifier";"D";"";"2006-03-16  03:06:40"
"293S0293002524";"0293002524";"";"293S";"0001-01-01";"1983-08-17";"D";"S";"ASSOCIATION DES AMIS DE L'ENFANCE DE SAINT SAUVEUR";"Concourir a la formation physique,intellectuelle morale et spiri- tuelle des enfants et des jeunes de la commune";"000000";"000000";"Kerriou";"";"";"29230";"SAINT-SAUVEUR";"29262";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002527";"0293002527";"";"293S";"0001-01-01";"1983-09-01";"D";"S";"FARANDOLE";"Gerer un service de garde d'enfants a domicile";"000000";"000000";"Kerjezegou";"";"";"29230";"PLOUNEVENTER";"29204";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002529";"0293002529";"";"293S";"0001-01-01";"1983-09-16";"D";"S";"ILE DEFENSE ENVIRONNEMENT AMENAGEMENTS LOISIRS DIT I.D.E.A.L.";"Etre un element de reflexion sur les grands projets d'amenagement et d'equipements de l'ile. developper l'information en mettant en oeuvre les moyens adaptes a la situation locale et en prenant";"000000";"000000";"Chez m ergol";"Le tevenn";"";"29253";"ILE-DE-BATZ";"29082";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002530";"0293002530";"";"293S";"0001-01-01";"1983-09-24";"D";"S";"PLOURIN ROLLER CLUB";"Repandre et developper la pratique du patinage a roulettes";"000000";"000000";"Ti an oll";"";"";"29210";"PLOURIN-LES-MORLAIX";"29207";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002534";"0293002534";"";"293S";"0001-01-01";"1983-10-21";"D";"S";"COMITE KER AMIED CLEDER";"Sauvegarder les interets des habitants de ker amied, l'amenagement l'animation de ker amied, la defense de l'environnement";"000000";"000000";"1, hent an enez ker amied";"";"";"29221";"CLEDER";"29030";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
